"customer_id","years_in_current_job","home_ownership"
"981165ec-3274-42f5-a3b4-d104041a9ca9","8 years","Home Mortgage"
"2de017a3-2e01-49cb-a581-08169e83be29","10+ years","Home Mortgage"
"5efb2b2b-bf11-4dfd-a572-3761a2694725","8 years","Own Home"
"e777faab-98ae-45af-9a86-7ce5b33b1011","3 years","Own Home"
"81536ad9-5ccf-4eb8-befb-47a4d608658e","5 years","Rent"
"4ffe99d3-7f2a-44db-afc1-40943f1f9750","10+ years","Home Mortgage"
"90a75dde-34d5-419c-90dc-1e58b04b3e35","< 1 year","Home Mortgage"
"018973c9-e316-4956-b363-67e134fb0931","< 1 year","Home Mortgage"
"af534dea-d27e-4fd6-9de8-efaa52a78ec0","2 years","Rent"
"235c4a43-dadf-483d-aa44-9d6d77ae4583","< 1 year","Rent"
"0de7bcdb-ebf4-4608-ba39-05f083f855b6","3 years","Rent"
"aa0a6a22-a95e-48e0-ba4f-b83456d424e4","10+ years","Home Mortgage"
"11581f68-de3c-49d8-80d9-22268ebb323b","< 1 year","Own Home"
"900c9191-2c20-4688-af7e-07c59b5d5a24","4 years","Rent"
"2ac05980-7848-4692-89ae-9321afe650f8","10+ years","Rent"
"3ec886e7-f15d-4c35-83d0-bdec4817ae4b","9 years","Own Home"
"abb4c446-08ea-49ff-aeb8-5e1e9da673e7","7 years","Home Mortgage"
"967e8733-7189-49b7-a3ab-6a1d0e1abdac","10+ years","Home Mortgage"
"c67b2cb5-9f91-4bcb-9a03-03d1589c6c1a","10+ years","Rent"
"422f9b72-5041-407c-8ac4-982213deacd1","8 years","Home Mortgage"
"40f729c9-54c7-4768-9fb5-2fa41d074c48","8 years","Rent"
"016c5139-4da2-44ba-a0a6-7b23597526a8","< 1 year","Rent"
"5b53e176-8fc7-48bf-9d78-ceb5aa284f36","2 years","Rent"
"eb166545-76e5-43ae-8c64-3fe5ebb9c729","10+ years","Home Mortgage"
"54f57722-2473-4dd8-b69b-82b5b0c1c9f9","4 years","Home Mortgage"
"cbe53e22-ba67-4eaf-a4fb-c5acdd12ec66","3 years","Rent"
"9baf6d5d-f744-4332-abb0-e939b75cde40","1 year","Rent"
"2bdc133d-cbbf-46c1-a902-488924082993","2 years","Home Mortgage"
"689da294-ff83-4d49-986a-c61887f6d4e2","10+ years","Home Mortgage"
"5129cffc-68a1-4dd9-8bfe-035f3478d6dd",NULL,"Home Mortgage"
"f4226232-1c33-4d69-ada0-c88245fe345f","6 years","Rent"
"247c59e9-cf6b-40a7-ae35-d102b69991cc","2 years","Rent"
"1c9b6b3e-060d-4a70-8b08-522a7f589e89","< 1 year","Rent"
"61a4f1ed-e2c3-401e-aec8-9b0d7178f5ff","10+ years","Home Mortgage"
"2d53b50a-30a2-488e-a287-3780b26e62ba","10+ years","Home Mortgage"
"b91032a8-107c-4c0f-9ef8-c517e696f497","5 years","Home Mortgage"
"86b8d158-c6f7-4ff0-8aaf-4eb96a3e6adc","4 years","Home Mortgage"
"d1d8497b-90bf-48ea-a8b1-40c909ab1f97","8 years","Home Mortgage"
"dedbd71d-dabd-4c64-a38f-bb5886e7f8b6","8 years","Home Mortgage"
"f7581a72-d073-48a3-934f-14bdfae93691","8 years","Home Mortgage"
"64560eb4-f50d-4f14-8a86-b46c0381bef2","< 1 year","Rent"
"33ca84d6-61ab-4e1c-9312-77228201e7dd","2 years","Rent"
"847e2dfa-a44c-4ec1-b05f-5d4a33e66885","4 years","Home Mortgage"
"628b0914-b1d7-4028-b590-b50f5da53d06","10+ years","Rent"
"c5a714bb-75c6-4264-a807-8a35bb12ce7d","4 years","Home Mortgage"
"64a23638-0025-41de-b41d-85c01eee6f1a","1 year","Rent"
"5d71bb9d-ce8b-499d-91bf-3df92426430d","10+ years","Own Home"
"24f6b0cb-17bd-4931-8cc9-b957f20efea5","< 1 year","Home Mortgage"
"6cfb0765-7cd8-4ef5-aa6e-f935caf57cf0","8 years","Rent"
"1ee733fd-fda7-4666-bbcb-059103773627","10+ years","Own Home"
"86d02184-ce07-4f47-9f68-45743fa29ced","10+ years","Own Home"
"2884d362-391a-4941-af69-c825cae18002","10+ years","Rent"
"06d6c4a1-7a06-41c5-aeb1-fe0d7e5c895e","2 years","Rent"
"41988ec9-7368-42a3-bc2f-9882fb3779f6","10+ years","Home Mortgage"
"82b6502d-b24e-43d7-baf5-5624e566bfe3","10+ years","Home Mortgage"
"48e551b4-6a6f-4450-bf3c-f0ee9bcb266e","10+ years","Home Mortgage"
"9966e08c-04a6-41ab-86d0-e4062c64bd41","4 years","Rent"
"b6f9e737-6609-45fd-8d6c-37b1b64c45df","7 years","Home Mortgage"
"0b25e0aa-3fe1-4540-8e6d-f6e579dfc84a","2 years","Rent"
"cdb9037a-a7e4-49e5-ace2-61cb3df0e1e0","6 years","Rent"
"e947abb6-87fa-4e75-b381-d487bc4dd0bf","7 years","Home Mortgage"
"2b8d9ed7-d6d4-491e-82f9-f5bee3bd9408","10+ years","Home Mortgage"
"1902ebd8-4ffa-4182-90dd-89a9eb14a9a0","7 years","Home Mortgage"
"c5e8d25e-4417-4e67-ac03-9d5cf3f903ca","2 years","Own Home"
"8e49b9f9-b15f-4d76-a1f8-2bc90dfdb07f","10+ years","Home Mortgage"
"88f97adf-070a-47b1-9657-38276eef7d19","6 years","Home Mortgage"
"0c0f26c2-c4c9-4f63-ae6c-1895438c6966","6 years","Home Mortgage"
"fef3362a-2732-4520-ab83-4ce52074aa4e","6 years","Home Mortgage"
"6ae17645-6b2a-4088-bb0c-1ca8424fedd7","7 years","Home Mortgage"
"570f58b9-c502-4c7d-b1a8-9df512e9daf5","9 years","Home Mortgage"
"c2fe5a7f-9826-48ad-ae02-b2c31cae3463","4 years","Rent"
"e978f6d8-912e-418e-8649-1b970583f4c8","10+ years","Rent"
"decb6753-c45f-4f8a-ae0d-e8b26d246998","5 years","Home Mortgage"
"a17de546-6b7f-4abf-9af4-99047eeda08a",NULL,"Home Mortgage"
"8980b1b1-7f07-49c7-a4f7-4268a61210f5","10+ years","Home Mortgage"
"6e8df64b-1404-4c95-8c79-954a601ba585","5 years","Own Home"
"55012e48-1a72-4609-b289-cd25b03f1aea","1 year","Home Mortgage"
"d377d2ea-5cf8-4ee2-b7ba-f5be4dbb1b11","9 years","Home Mortgage"
"47e5d0b1-228e-4fae-a0a5-22f4b9f8ad7d","7 years","Home Mortgage"
"42374c5d-1275-4b47-b0d6-e1c33d02b811","6 years","Home Mortgage"
"2bafd352-5fbb-4435-8316-fa2e7bc6950f","5 years","Rent"
"3c75455c-6827-49fc-b91d-3001a1a5c9ba","< 1 year","Home Mortgage"
"ac460fac-928b-4149-b919-69ea4eb9750f","8 years","Home Mortgage"
"d80034d4-37b2-4380-9546-3bc3c9025077","2 years","Home Mortgage"
"034ce7a6-999c-4ffa-a1d2-610f88a29606",NULL,"Rent"
"0f9f9ea4-6122-4fc6-99fd-6c6c38a32138","3 years","Rent"
"f55d6d2b-646b-4d5d-996e-85f78f6fe3f2","2 years","Rent"
"e5e051b3-545f-45c7-a975-360b732f7c97","3 years","Rent"
"377a2055-0d25-4dd0-a7c9-28cb61f68259","1 year","Rent"
"46dce277-4cdd-4b47-83f8-97078cb41bc0","10+ years","Home Mortgage"
"64f770d8-dec2-42e7-8955-6149ce7efd5f","10+ years","Rent"
"4da78dcb-83c2-4338-9a5b-72bd01053f5c","10+ years","Rent"
"4cc38eb2-c463-493a-82e9-1571bacc69a9","2 years","Home Mortgage"
"f4a63c54-c7b6-4132-a5c1-160b09c0a1cf","6 years","Home Mortgage"
"40deeacb-f472-4241-9861-56ce8bfe3151","6 years","Rent"
"bc653e0d-ccac-4114-b998-f53c9f2dffc8","10+ years","Rent"
"403bdb3c-e326-4172-9f81-4e6b992cc349",NULL,"Own Home"
"168cc347-945f-43d4-827b-1c06c7a80722","2 years","Rent"
"d110ff2c-c936-487a-8e4f-8a192bad9cd8","3 years","Rent"
